class_id,class_name
"0110","Omakotitalot"
"0111","Paritalot"
"0112","Rivitalot"
"0112.1","Rivitalot #.1"
"0112.2","Rivitalot #.2"
"0120","Pienkerrostalot"
"0121","Asuinkerrostalot"
"0130","Asuntolarakennukset"
"0140","Erityisryhmien asuinrakennukset"
"0210","Ympärivuotiseen käyttöön soveltuvat vapaa-ajan asuinrakennukset"
"0211","Osavuotiseen käyttöön soveltuvat vapaa-ajan asuinrakennukset"
"0310","Tukku- ja vähittäiskaupan myymälähallit"
"0311","Kauppakeskukset ja liike- ja tavaratalot"
"0319","Muut myymälärakennukset"
"0320","Hotellit"
"0321","Motellit, hostellit ja vastaavat majoitusliikerakennukset"
"0322","Loma-, lepo- ja virkistyskodit"
"0329","Muut majoitusliikerakennukset"
"0330","Ravintolarakennukset ja vastaavat liikerakennukset"
"0400","Toimistorakennukset"
"0400.1","Toimistorakennukset #.1"
"0400.2","Toimistorakennukset #.2"
"0400.3","Toimistorakennukset #.3"
"0510","Asemarakennukset ja terminaalit"
"0510.1","Asemarakennukset ja terminaalit #.1"
"0510.2","Asemarakennukset ja terminaalit #.2"
"0510.3","Asemarakennukset ja terminaalit #.3"
"0511","Ammattiliikenteen kaluston suojarakennukset"
"0512","Ammattiliikenteen kaluston huoltorakennukset"
"0513","Pysäköintitalot ja -hallit"
"0513.1","Pysäköintitalot ja -hallit #.1"
"0513.2","Pysäköintitalot ja -hallit #.2"
"0514","Kulkuneuvojen katokset"
"0520","Datakeskukset ja laitetilat"
"0521","Tietoliikenteen rakennukset"
"0590","Muut liikenteen rakennukset"
"0610","Terveys- ja hyvinvointikeskukset"
"0611","Keskussairaalat"
"0612","Erikoissairaalat ja laboratoriorakennukset"
"0613","Muut sairaalat"
"0614","Kuntoutuslaitokset"
"0619","Muut terveydenhuoltorakennukset"
"0620","Laitospalvelujen rakennukset"
"0621","Avopalvelujen rakennukset"
"0630","Vankilarakennukset"
"0710","Teatterit, musiikki- ja kongressitalot"
"0711","Elokuvateatterit"
"0712","Kirjastot ja arkistot"
"0713","Museot ja taidegalleriat"
"0714","Näyttely- ja messuhallit"
"0720","Seura- ja kerhorakennukset"
"0730","Uskonnonharjoittamisrakennukset"
"0731","Seurakuntatalot"
"0739","Muut uskonnollisten yhteisöjen rakennukset"
"0740","Jäähallit"
"0741","Uimahallit"
"0742","Monitoimihallit"
"0743","Urheilu- ja palloiluhallit"
"0744","Stadion- ja katsomorakennukset"
"0749","Muut urheilu- ja liikuntarakennukset"
"0790","Muut kokoontumisrakennukset"
"0810","Lasten päiväkodit"
"0820","Yleissivistävien oppilaitosten rakennukset"
"0830","Ammatillisten oppilaitosten rakennukset"
"0840","Korkeakoulurakennukset"
"0841","Tutkimuslaitosrakennukset"
"0890","Vapaan sivistystyön opetusrakennukset"
"0891","Järjestöjen, liittojen, työnantajien ja vastaavien opetusrakennukset"
"0910","Yleiskäyttöiset teollisuushallit"
"0911","Raskaan teollisuuden tehdasrakennukset"
"0912","Elintarviketeollisuuden tuotantorakennukset"
"0919","Muut teollisuuden tuotantorakennukset"
"0920","Teollisuus- ja pienteollisuustalot"
"0930","Metallimalmien käsittelyrakennukset"
"0939","Muut kaivannaistoiminnan rakennukset"
"1010","Sähköenergian tuotantorakennukset"
"1011","Lämpö- ja kylmäenergian tuotantorakennukset"
"1090","Energiansiirtorakennukset"
"1091","Energianvarastointirakennukset"
"1110","Vedenotto-, vedenpuhdistus- ja vedenjakelurakennukset"
"1120","Jätteenkeruu-, jätteenkäsittely- ja jätteenvarastointirakennukset"
"1130","Materiaalien kierrätysrakennukset"
"1210","Lämmittämättömät varastot"
"1211","Lämpimät varastot"
"1212","Kylmä- ja pakastevarastot"
"1213","Muut olosuhteiltaan säädellyt varastot"
"1214","Logistiikkakeskukset ja muut monikäyttöiset varastorakennukset"
"1215","Varastokatokset"
"1310","Paloasemat"
"1311","Väestönsuojat"
"1319","Muut pelastustoimen rakennukset"
"1410","Lypsykarjarakennukset"
"1411","Lihakarjarakennukset"
"1412","Sikalat"
"1413","Lampolat ja vuohinavetat"
"1414","Hevostallit"
"1415","Siipikarjarakennukset"
"1416","Turkiseläinrakennukset"
"1419","Muut eläinsuojat"
"1490","Kasvihuoneet"
"1491","Viljankuivaamot ja viljansäilytysrakennukset"
"1492","Maatalouden varastorakennukset"
"1493","Lantalat"
"1499","Muut maa-, metsä- ja kalatalouden rakennukset"
"1910","Saunarakennukset"
"1911","Talousrakennukset"
"1912","Majat ja tuvat"
"1919","Muualla luokittelemattomat rakennukset"
